counter	temp	goal	relay	energy
0	23	298	1	0
0	23	298	1	0
0	23	298	1	0
0	23	298	1	0
0	23	298	1	0
0	23	298	1	0
0	23	298	1	0
0	23	298	1	0
0	23	298	1	0
0	23	298	1	0
0	23	298	1	0
0	23	298	1	0
0	23	298	1	0
0	23	298	1	0
0	23	298	1	0
0	23	298	1	0
0	23	298	1	0
0	23	298	1	0
0	23	298	1	0
0	23	298	1	0
0	23	298	1	0
0	23	298	1	0
0	23	298	1	0
0	23	298	1	0
0	23	298	1	0
0	23	298	1	0
1	23	298	1	0
1	23	298	1	20
1	23	298	1	20
1	23	298	1	20
1	23	298	1	20
1	23	298	1	20
1	23	298	1	20
1	23	298	1	20
1	23	298	1	20
1	23	298	1	20
1	23	298	1	20
1	23	298	1	20
1	23	298	1	20
1	23	298	1	20
1	23	298	1	20
1	23	298	1	20
1	23	298	1	20
1	23	298	1	20
1	23	298	1	20
1	23	298	1	20
1	23	298	1	20
1	23	298	1	20
1	23	298	1	20
1	23	298	1	20
1	23	298	1	20
1	23	298	1	20
1	23	298	1	20
1	23	298	1	20
1	23	298	1	20
1	23	298	1	20
1	23	298	1	20
2	23	298	1	20
2	23	298	1	40
2	23	298	1	40
2	23	298	1	40
2	23	298	1	40
2	23	298	1	40
2	23	298	1	40
2	23	298	1	40
2	23	298	1	40
2	23	298	1	40
2	23	298	1	40
2	23	298	1	40
2	23	298	1	40
2	23	298	1	40
2	23	298	1	40
2	23	298	1	40
2	23	298	1	40
2	23	298	1	40
2	23	298	1	40
2	23	298	1	40
2	23	298	1	40
2	23	298	1	40
2	23	298	1	40
2	23	298	1	40
2	23	298	1	40
2	23	298	1	40
2	23	298	1	40
2	23	298	1	40
2	23	298	1	40
2	23	298	1	40
2	23	298	1	40
3	23	298	1	40
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
4	23	298	1	60
4	23	298	1	80
4	23	298	1	80
4	23	298	1	80
4	23	298	1	80
4	23	298	1	80
4	23	298	1	80
4	23	298	1	80
4	23	298	1	80
4	23	298	1	80
4	23	298	1	80
4	23	298	1	80
4	23	298	1	80
4	23	298	1	80
4	23	298	1	80
4	23	298	1	80
4	23	298	1	80
4	23	298	1	80
4	23	298	1	80
4	23	298	1	80
4	23	298	1	80
4	23	298	1	80
4	23	298	1	80
4	23	298	1	80
4	23	298	1	80
4	23	298	1	80
4	23	298	1	80
4	23	298	1	80
4	23	298	1	80
4	23	298	1	80
4	23	298	1	80
4	23	298	1	80
5	23	298	1	80
5	23	298	1	100
5	23	298	1	100
5	23	298	1	100
5	23	298	1	100
5	23	298	1	100
5	23	298	1	100
5	23	298	1	100
5	23	298	1	100
5	23	298	1	100
5	23	298	1	100
5	23	298	1	100
5	23	298	1	100
5	23	298	1	100
5	23	298	1	100
5	23	298	1	100
5	23	298	1	100
5	23	298	1	100
5	23	298	1	100
5	23	298	1	100
5	23	298	1	100
5	23	298	1	100
5	23	298	1	100
5	23	298	1	100
5	23	298	1	100
5	23	298	1	100
5	23	298	1	100
5	23	298	1	100
5	23	298	1	100
5	23	298	1	100
6	23	298	1	100
6	23	298	1	120
6	23	298	1	120
6	23	298	1	120
6	23	298	1	120
6	23	298	1	120
6	23	298	1	120
6	23	298	1	120
6	23	298	1	120
6	23	298	1	120
6	23	298	1	120
6	23	298	1	120
6	23	298	1	120
6	23	298	1	120
6	23	298	1	120
6	23	298	1	120
6	23	298	1	120
6	23	298	1	120
6	23	298	1	120
6	23	298	1	120
6	23	298	1	120
6	23	298	1	120
6	23	298	1	120
6	23	298	1	120
6	23	298	1	120
6	23	298	1	120
6	23	298	1	120
6	23	298	1	120
6	23	298	1	120
6	23	298	1	120
6	23	298	1	120
7	23	298	1	120
7	23	298	1	140
7	23	298	1	140
7	23	298	1	140
7	23	298	1	140
7	23	298	1	140
7	23	298	1	140
7	23	298	1	140
7	23	298	1	140
7	23	298	1	140
7	23	298	1	140
7	23	298	1	140
7	23	298	1	140
7	23	298	1	140
7	23	298	1	140
7	23	298	1	140
7	23	298	1	140
7	23	298	1	140
7	23	298	1	140
7	23	298	1	140
7	23	298	1	140
7	23	298	1	140
7	23	298	1	140
7	23	298	1	140
7	23	298	1	140
7	23	298	1	140
7	23	298	1	140
7	23	298	1	140
7	23	298	1	140
7	23	298	1	140
7	23	298	1	140
8	23	298	1	140
8	23	298	1	160
8	23	298	1	160
8	23	298	1	160
8	23	298	1	160
8	23	298	1	160
8	23	298	1	160
8	23	298	1	160
8	23	298	1	160
8	23	298	1	160
8	23	298	1	160
8	23	298	1	160
8	23	298	1	160
8	23	298	1	160
8	23	298	1	160
8	23	298	1	160
8	23	298	1	160
8	23	298	1	160
8	23	298	1	160
8	23	298	1	160
8	23	298	1	160
8	23	298	1	160
8	23	298	1	160
8	23	298	1	160
8	23	298	1	160
8	23	298	1	160
8	23	298	1	160
8	23	298	1	160
8	23	298	1	160
8	23	298	1	160
8	23	298	1	160
9	23	298	1	160
9	23	298	1	180
9	23	298	1	180
9	23	298	1	180
9	23	298	1	180
9	23	298	1	180
9	23	298	1	180
9	23	298	1	180
9	23	298	1	180
9	23	298	1	180
9	23	298	1	180
9	23	298	1	180
9	23	298	1	180
9	23	298	1	180
9	23	298	1	180
9	23	298	1	180
9	23	298	1	180
9	23	298	1	180
9	23	298	1	180
9	23	298	1	180
9	23	298	1	180
9	23	298	1	180
9	23	298	1	180
9	23	298	1	180
9	23	298	1	180
9	23	298	1	180
9	23	298	1	180
9	23	298	1	180
9	23	298	1	180
9	23	298	1	180
9	23	298	1	180
10	23	298	1	180
10	23	298	1	200
10	23	298	1	200
10	23	298	1	200
10	23	298	1	200
10	23	298	1	200
10	23	298	1	200
10	23	298	1	200
10	23	298	1	200
10	23	298	1	200
10	23	298	1	200
10	23	298	1	200
10	23	298	1	200
10	23	298	1	200
10	23	298	1	200
10	23	298	1	200
10	23	298	1	200
10	23	298	1	200
10	23	298	1	200
10	23	298	1	200
10	23	298	1	200
10	23	298	1	200
10	23	298	1	200
10	23	298	1	200
10	23	298	1	200
10	23	298	1	200
10	23	298	1	200
10	23	298	1	200
10	23	298	1	200
10	23	298	1	200
10	23	298	1	200
11	23	298	1	200
11	23	298	1	220
11	23	298	1	220
11	23	298	1	220
11	23	298	1	220
11	23	298	1	220
11	23	298	1	220
11	23	298	1	220
11	23	298	1	220
11	23	298	1	220
11	23	298	1	220
11	23	298	1	220
11	23	298	1	220
11	23	298	1	220
11	23	298	1	220
11	23	298	1	220
11	23	298	1	220
11	23	298	1	220
11	23	298	1	220
11	23	298	1	220
11	23	298	1	220
11	23	298	1	220
11	23	298	1	220
11	23	298	1	220
11	23	298	1	220
11	23	298	1	220
11	23	298	1	220
11	23	298	1	220
11	23	298	1	220
11	23	298	1	220
11	23	298	1	220
12	23	298	1	220
12	23	298	1	240
12	23	298	1	240
12	23	298	1	240
12	23	298	1	240
12	23	298	1	240
12	23	298	1	240
12	23	298	1	240
12	23	298	1	240
12	23	298	1	240
12	23	298	1	240
12	23	298	1	240
12	23	298	1	240
12	23	298	1	240
12	23	298	1	240
12	23	298	1	240
12	23	298	1	240
12	23	298	1	240
12	23	298	1	240
12	23	298	1	240
12	23	298	1	240
12	23	298	1	240
12	23	298	1	240
12	23	298	1	240
12	23	298	1	240
12	23	298	1	240
12	23	298	1	240
12	23	298	1	240
12	23	298	1	240
12	23	298	1	240
12	23	298	1	240
12	23	298	1	240
13	23	298	1	240
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
13	23	298	1	260
